Country Name,YEAR,NY.GNS.ICTR.ZS,NY.GDS.TOTL.ZS,NY.GDP.PCAP.KD.ZG,NY.GDP.MKTP.KD.ZG,NY.GDP.DEFL.ZS,NY.GDP.DEFL.KD.ZG,NV.IND.TOTL.ZS,NE.TRD.GNFS.ZS,NE.RSB.GNFS.ZS,NE.IMP.GNFS.ZS,NE.GDI.TOTL.ZS,NE.EXP.GNFS.ZS,NE.DAB.TOTL.ZS,NE.CON.GOVT.ZS,FP.CPI.TOTL.ZG,BX.KLT.DINV.WD.GD.ZS,BN.CAB.XOKA.GD.ZS,BM.KLT.DINV.WD.GD.ZS,BG.GSR.NFSV.GD.ZS
AGO,2002,28.87681625,39.36157262,9.937307249,13.66568876,100,196.9840994,56.07579654,105.3017426,8.868249209,48.2167467,30.49317313,57.0849959,91.1316005,19.13057854,108.8974361,11.40619182,-0.981927167,0.654936994,23.08571923
AGO,2003,26.05546133,35.19255948,-0.466060748,2.99,193.9265669,93.92656691,53.11699779,103.9012296,4.741448071,49.57989074,30.45111141,54.32133881,95.25855193,21.85425979,98.22414366,20.08101439,-4.039582397,0.53837978,19.77362756
AGO,2004,33.53600551,44.07444509,7.127076561,10.95000001,258.7825821,33.44359479,54.62993328,103.5799471,13.18076959,45.19958873,30.8936755,58.38035832,86.81923041,14.31206294,43.54210675,9.32923924,2.892476179,3.325552298,21.76241176
AGO,2005,41.18765335,52.0181532,11.00956557,15.02999999,368.4397585,42.37424926,60.40199346,106.5909621,24.46157341,41.06469436,27.55657979,65.52626777,75.53842659,16.02903718,22.95351385,-3.526657165,13.89709882,0.59333706,18.84673687
AGO,2006,43.45458359,55.6113386,7.614219203,11.55,431.5006739,17.11566514,58.10933117,94.62515933,32.31056768,31.15729583,23.30077092,63.4678635,67.68943232,15.34172241,13.30521018,-0.072000996,20.40780782,0.36384375,17.17304701
AGO,2007,41.49897023,53.48207821,9.935108707,14.01000001,450.0915879,4.308432212,61.88353785,108.0600679,27.75149885,40.15428452,25.73057936,67.90578337,72.24850115,15.5369347,12.25149745,-1.368762391,16.21239743,1.397014752,19.84781503
AGO,2008,38.65885864,54.38940246,7.163046012,11.16999999,537.2553056,19.36577356,60.2548204,121.3647085,23.58534915,48.88967965,30.80405331,72.4750288,76.41465085,16.81461154,12.47582913,1.896313901,8.125542623,2.90228453,25.37738167
AGO,2009,27.65787363,37.88932755,-2.797289984,0.860000002,447.1998176,-16.76214029,44.05637413,122.4461441,-4.931543544,63.68884384,42.82085316,58.7573003,104.9315256,19.89858608,13.73028393,3.13666067,-10.76938368,0.009605168,28.1516226
AGO,2010,36.9873386,47.15990117,0.571220941,4.398375938,591.5132966,32.27046912,52.36843758,104.1236353,18.96259646,42.58051942,28.19731769,61.54311589,81.03741652,17.04234586,14.46965649,-3.851111514,8.957042208,1.599567782,23.40258326
AGO,2011,37.88854984,47.78174187,-0.345062435,3.472053148,779.4457079,31.77146016,56.02651389,99.98250633,21.3573887,39.31255882,26.42435317,60.66994752,78.6426113,18.23585922,13.48246792,-2.704873236,11.70468355,1.871944871,21.82860673
AGO,2012,37.2329984,46.7477413,4.53805378,8.542107076,836.0003392,7.255749909,56.91821896,91.80009734,20.08016393,35.85996671,26.66757737,55.94013063,79.91983607,17.8426333,10.27790492,-1.143767784,10.80895748,0.692272987,17.90225231
AGO,2013,31.97857119,40.8252093,1.106331035,4.954613031,859.7404425,2.839724126,53.36285218,86.81193276,14.68223882,36.06484697,26.14297048,50.74708579,85.31776118,21.62194873,8.777814293,-5.380131009,6.154696213,0.696367235,18.42069925
AGO,2014,29.85796511,37.55759534,1.030729118,4.82255927,890.354809,3.560884772,46.20332557,79.33292278,10.05713614,34.63789332,27.5004592,44.69502946,89.94286386,17.97565865,7.280387304,2.690005655,-2.756200438,0.652212483,19.59227811
AGO,2015,24.81755493,30.82317064,-2.64297533,0.943571561,859.0286959,-3.518385346,41.93309219,62.88851609,-3.379320188,33.13391814,34.20249083,29.75459795,103.3793202,16.43283283,9.353839725,11.08133901,-11.35165549,-0.86729421,20.47859025
AGO,2016,24.01749017,30.09351605,-6.011890778,-2.580111222,1046.076289,21.77431256,42.64356787,53.37015807,2.878812827,25.24567262,27.21470927,28.12448545,97.12119322,13.88068508,30.69895786,-0.340242829,-5.84742399,0.517431069,25.25970939
AGO,2017,23.09966944,29.88168271,-3.630695038,-0.147149825,1282.640547,22.61443652,42.16795377,52.25682223,5.751381778,23.25272022,24.13030586,29.004102,94.24862316,12.93581932,29.84257779,-10.03837677,-0.858821843,1.834715989,20.05406869
AGO,2018,25.09992382,33.1639908,-4.676669584,-1.316361689,1643.923107,28.16709326,47.93154185,66.37801333,15.29456633,25.5417235,17.86942057,40.83628983,84.70542976,10.47454356,19.63059436,-8.125891112,9.317233977,0.007192093,13.4934423
AGO,2019,32.10299532,41.46423053,-4.017114161,-0.702272958,1959.342696,19.18700383,49.76092161,57.82953812,23.75197199,17.03878307,17.71225524,40.79075505,76.24802471,8.598856284,17.07970441,-5.780813144,7.246181249,-3.313812902,12.16798256
AGO,2020,28.06598155,37.17745305,-8.672432129,-5.638214717,2170.228813,10.76310528,45.67824234,65.94202893,10.68705255,27.62748819,26.4904005,38.31454074,89.31294745,8.750362574,22.27156431,-3.848263985,1.797710855,0.186621764,11.68942827
AGO,2021,38.29084767,47.46341524,-1.954598006,1.199210521,3012.792411,38.82372184,47.52440955,74.46449859,21.02605336,26.71922262,26.43736188,47.74527598,78.97394664,7.345796522,25.75426565,-6.548542275,12.62978006,-1.58990831,10.74183954
ALB,2000,25.89134918,7.57276052,7.630022439,6.946216592,69.55302653,5.647471468,19.39568914,63.45407313,-23.22350204,43.33878759,30.79625857,20.11528555,123.2234981,9.692453497,0.050018136,4.108775955,-4.490920852,0,25.53187632
ALB,2001,28.92521879,11.16449936,9.314397139,8.293312631,72.20359317,3.810857374,21.73577378,66.49102403,-23.82420237,45.1576132,34.98866978,21.33341083,123.8241704,10.6259555,3.10758827,5.285432754,-5.542947809,0,25.31296497
ALB,2002,25.51671658,8.630179822,4.850475334,4.53652416,74.8372021,3.647476271,23.1063696,68.52506822,-26.63383588,47.57945205,35.26406156,20.94561617,126.6338817,11.33513679,7.770525834,3.104827074,-9.372437995,0,26.95932848
ALB,2003,26.25826888,8.571144011,5.924211542,5.528637465,78.72771531,5.198635303,24.05560851,67.02056104,-25.32578814,46.17317459,33.8968628,20.84738645,125.3257188,11.09842299,0.484002612,3.172708178,-7.249665323,0,27.59816286
ALB,2004,29.38483682,11.58474275,5.956569596,5.514667911,81.20950334,3.152368925,24.66556227,67.04718731,-22.61206579,44.82962655,34.19674618,22.21756076,122.6120034,11.20586696,2.280019169,4.750174509,-4.981782617,0.189345822,30.00277665
ALB,2005,30.10649462,12.02328384,6.067882439,5.526424247,83.89495394,3.306818147,25.08160659,70.87234678,-24.84636448,47.85935563,36.86967568,23.01299115,124.8463918,11.03126729,2.366581957,3.259767692,-7.097241321,0.050440697,32.90510937
ALB,2006,29.0689429,11.84963362,6.572922982,5.902659036,85.97402936,2.478188887,25.30802592,74.26709024,-23.84787478,49.05748251,35.69751872,25.20960773,123.8478851,10.52729064,2.370728319,3.654851343,-7.541575969,0.11802958,36.18792576
ALB,2007,23.95429313,7.755646651,6.787228936,5.983259519,89.74546017,4.386709383,25.34033192,83.20208011,-26.70634927,54.95421469,34.46197003,28.24786542,126.7063234,10.47743929,2.932682482,6.108979662,-10.77810238,0.045988297,37.73410522
ALB,2008,17.73092403,6.527309758,8.328108423,7.50004143,93.44035744,4.117085426,25.16101033,77.4517515,-26.84691526,52.14933338,35.77842388,25.30241812,129.2511141,10.37895632,3.320870904,9.682070855,-15.62852969,2.84081762,39.6561732
ALB,2009,17.33589683,8.071159575,4.053139864,3.35428935,95.70005929,2.418336059,24.41377839,75.0949144,-24.61341718,49.85416579,34.55784589,25.24074861,126.4866863,11.10943444,2.266922095,11.17064325,-15.38048777,3.276700734,40.60139905
ALB,2010,19.96761667,10.73330268,4.223083827,3.706938153,100,4.4931432,24.93746193,76.54339024,-20.58451976,48.563955,30.30866982,27.97943524,119.5753671,11.15736037,3.626046956,9.138131244,-11.36586585,0.388922738,38.48220062
ALB,2011,20.54545899,10.72640056,2.821642455,2.545406145,102.3147438,2.314743797,24.48447822,81.21856893,-22.73549465,51.97703179,31.41358148,29.24153714,120.6871809,10.97416548,3.429123247,8.135336135,-12.93310145,1.567712032,39.26944389
ALB,2012,19.62510087,11.18830352,1.584872815,1.4172428,103.3815946,1.042714606,22.91855334,76.51020062,-18.6352251,47.57271286,28.32854996,28.93748776,117.1402464,10.84481596,2.031592684,7.451354955,-10.20017623,0.675158798,34.92658062
ALB,2013,17.741292,8.945132524,1.187234353,1.002017541,103.6801048,0.288745964,23.06131685,75.87371385,-18.04108357,46.95739871,28.05249646,28.91631514,119.1073639,11.02549381,1.937620802,9.816284582,-9.274187789,0.22267565,33.36074037
ALB,2014,15.92938749,7.760777034,1.985388092,1.774448853,105.2870604,1.54991707,21.50884574,75.4078456,-18.98184268,47.19484414,25.67469263,28.21300146,117.9139156,11.45186823,1.625865044,8.693038722,-10.77539904,0.571867614,34.48028866
ALB,2015,16.86397944,8.194604781,2.516827054,2.218726375,105.8808703,0.56399135,21.763681,71.80100634,-17.26622404,44.53361519,25.8190485,27.26739115,117.6244437,11.11063531,1.896174026,8.690533943,-8.604880468,0.696509873,34.38733058
ALB,2016,17.04907325,7.7696232,3.480293217,3.314980684,105.2110114,-0.632653419,21.14196535,74.80986282,-16.85406447,45.83196365,25.22382594,28.97789918,117.4542027,11.26931522,1.275431684,8.805091978,-7.590825999,0.059342794,37.27735635
ALB,2017,16.52937175,8.893571616,3.898112267,3.80259872,106.7373407,1.450731581,20.35840836,78.19424953,-15.05465291,46.62445122,25.05253803,31.56979831,116.1589664,11.49839762,1.986661332,7.855448267,-7.544228752,-0.815502052,40.3937846
ALB,2018,16.54715996,9.605717542,4.276311551,4.019345617,108.3095321,1.472953487,21.27941019,76.80818413,-13.6642753,45.23622971,23.91020539,31.57195441,114.3044878,11.28656921,2.028059631,7.9463557,-6.704921682,-0.02977837,39.1276059
ALB,2019,14.39660845,8.652822662,2.523540843,2.087711996,109.6710098,1.257024829,20.61965488,76.27919465,-13.67065487,44.97492476,23.01259551,31.30426989,114.3597729,11.34698393,1.41109079,7.797920484,-7.91371112,0.259559263,40.26389616
ALB,2020,13.4131245,7.504548108,-2.745238678,-3.302082039,110.434915,0.696542442,20.1145302,59.82972943,-14.5141502,37.17193982,22.96503001,22.65778961,115.4604819,11.84850785,1.620886617,7.055092209,-8.669828198,0.330403484,25.68879745
ALB,2021,17.15063089,11.43945244,9.922713708,8.908527818,114.249814,3.45443199,20.74698491,76.01798211,-13.39966059,44.70882135,24.81229514,31.30916076,113.3728427,11.90841263,2.041471631,6.796140804,-7.638882826,0.278527584,34.09398217
ARM,2012,14.09673279,3.210206681,7.735370834,7.200000001,100,5.345804418,27.82709461,75.96167596,-20.83805299,48.39986448,24.68095275,27.56181148,121.4707461,10.90996389,2.558020078,4.676727598,-9.962331642,0.220597624,27.35990034
ARM,2013,14.83671978,1.276429283,3.764129648,3.3,103.3668246,3.366824642,26.70904814,77.55504816,-20.84807788,49.20156302,22.15249007,28.35348514,120.8760608,11.93506543,5.789667785,3.111931854,-7.316246571,0.272112277,28.45325559
ARM,2014,13.28125722,2.366960972,4.010645933,3.600000001,105.7537532,2.30918243,25.27053295,75.77886696,-18.65810365,47.21848531,21.28304069,28.56038166,118.9160797,12.08585349,2.981308689,3.502114155,-7.767866332,0.248107583,28.88923127
ARM,2015,18.45377743,8.97255534,3.606369078,3.199999999,107.0375085,1.213909905,25.70869944,71.68207434,-12.23129192,41.95668313,20.73053013,29.72539121,111.7579748,13.11159781,3.731691193,1.744737018,-2.661807056,0.2724439,29.58964245
ARM,2016,17.87496536,10.24218352,0.646135943,0.2,107.3249846,0.268575077,25.57713304,76.07796746,-8.589407738,42.3336876,18.01550867,33.74427986,107.7733251,13.45415852,-1.403607559,3.165367278,-0.956577969,0.668675056,31.04414898
